condition_id,category,prob,final_outcome,n_fills,source
0x56e2bb8b8eb3ea6581debc3045f22db100df08e86ecbf2dc7c337d1c606cf79e,onchain_unknown,0.24,0,116,goldsky
0x70d706fe084905dbafb95dfff13b727e4073efc3ef590adc8330562bac5d26de,onchain_unknown,0.38,0,40,goldsky
0x9c6937159260a98e5be7912a2f7c1706d25f63ccd9fc94e2eae256527ad7b7d9,onchain_unknown,0.46,0,1,goldsky
0x15709d7e43141ade1366ea123f3cdbc681def6e8ba7ad9cb7b2f3bad3706f8cf,onchain_unknown,0.45,1,18,goldsky
0xf30ba12da9de0682219f031c68e42f366b6d1a943a68ea5b4ba30930c2e30f67,onchain_unknown,0.01,0,2,goldsky
0x1f61db83c47fc787f44997af53d517cc4775e813b169d0b8ae2ad3bff316d052,onchain_unknown,0.51,1,3,goldsky
0x84e3fdc913126e113d00ef417af2b127bc4bc72221cc1466588fdf0994164b56,onchain_unknown,0.41,1,413,goldsky
0x2dc7227fa65b15182a20b39da70d8a7a268c0d31c5d5274ee52322bede55b1c7,onchain_unknown,0.32,1,1,goldsky
0xdcc80c71327327a53cb527a71fb3c97b4f89d7a991ca819669327300db4d6a79,onchain_unknown,0.45,1,15,goldsky
0xbbca85c29bf476ee54dfcfa96406af264ac784320cedede4dfc802f49dcadfcd,onchain_unknown,0.001,0,8,goldsky
0x0fa5d80f8f8fec384b629d60a47c8c669ff7e6ea469edb9f91ccfd030b7f56d7,onchain_unknown,0.008,0,20,goldsky
0x699093850ff73cf30baa4c571272900c3162932f9745400256a6455d6b2d0789,onchain_unknown,0.02,0,6,goldsky
0x324a567d3eff0c0b3875600836340e420bea96458ef31cc6a17e816b43a593f4,onchain_unknown,0.055,0,28,goldsky
0x6468c95a0308394330bf55ae21835c8a341bf7efaeb697964ea5f9107972da2c,onchain_unknown,0.0248,0,52,goldsky
0xefb18b9c685920092da8d85bba7649f9a320c4fe24d2086eb6aa0ea1f6d6aec1,onchain_unknown,0.255,0,8,goldsky
0x1289630086e9d239b204b630ea0abf3e29f5095837019edb1669b086b08ce9d8,onchain_unknown,0.999,1,1,goldsky
0x017099b71b4754c6f7ee6e78492d138270294db1bc520d970eaab83192e12a39,onchain_unknown,0.39,1,1,goldsky
0xfa59099fbda1e0f0058ed3cbd57e939fe90ab6d9b57d53bd488bcadf75c191d4,onchain_unknown,0.02,0,45,goldsky
0x2c32d0c0056fd2650a39549f6382ab0ed7953fddaf8fcf6875b6b1451d6680b0,onchain_unknown,0.88,0,35,goldsky
0x807ba575f84169bdb061dd05da3e8eb314a129aa152e31518c2aff9979d5f986,onchain_unknown,0.004,0,13,goldsky
0xcddc048c672ee233890b99b18885dbd510e3db3d67c53afb408ddc93f9aadff4,onchain_unknown,0.026,0,39,goldsky
0xd9c3cba9982e6d16440808b0aebcf8ab3d0e67ad58d0e8acad2d1d1801f9a252,onchain_unknown,0.85,0,9,goldsky
0x5bc5e6d69bc9ecc5284c405e411480f6103927ec7b71023621c9818340fdf15f,onchain_unknown,0.1,0,2,goldsky
0xfdd475a285bf69a04408f3b5712ad28d3825b87c907932c9f5bdead6bf2bd9c2,onchain_unknown,0.04,0,1,goldsky
0x6df498dc074707b4b028c1e56369b707577d4ea50eadcc78570825c08ceed87c,onchain_unknown,0.0105,0,20,goldsky
0x6c1cda497549333cec7c345c8817d4f3efcb2780896bca25de4778f67b85214d,onchain_unknown,0.85,1,1,goldsky
0xa78ecba9c4273564cce4b810db46bb36cc35db9cd52fc4e067c77f85af1c1048,onchain_unknown,0.008,0,30,goldsky
0x509618816300d1de8bc51c062b962835d5b4a1bc21c16cf3f52b48c5342395ba,onchain_unknown,0.96,1,363,goldsky
0xa1b91b95e0941fafb86b8e55f5f8051bf5620f5b03d8547dfb1cf81e10abf077,onchain_unknown,0.019,0,21,goldsky
0xceb6dfaa2cf5abc9d47ebc867b984a7715104944249274e8a483a2e17473e5f5,onchain_unknown,0.012,0,71,goldsky
0x49f3effc516cb99837cd30cbac40426d170cb87644cb76d97f239a2441c1bb05,onchain_unknown,0.011,0,9,goldsky
0x7101a33dcf99a2e333aeb023451ccaa09a1bfc2356962aec63dc501522f39285,onchain_unknown,0.22,0,14,goldsky
0x9674d3bac07e582996fdf430889f92eb80202f33377ab07eab9efd99357d66d2,onchain_unknown,0.4946,1,3,goldsky
0x350b4923d63cfab3b3a3cdfd8711886992431232191020aa7984def370d53497,onchain_unknown,0.37,0,13,goldsky
0xbcbf56d9cf66c041b702c2fa29246728b7ab2dda2fae1c53599eb149260244c9,onchain_unknown,0.35,0,2,goldsky
0xddb7b4b3e5cca21fa17b594ba8cb962a8607ed40fca8f881f9c172e5478a3838,onchain_unknown,0.96,1,1,goldsky
0x80cf132f78b7b55fa56008f95ed1ba09c5bbd82553ff26e04dfa6cf149833f21,onchain_unknown,0.71,1,9,goldsky
0xc6c4f606462c0a964c325e3b0ce50284976490c7705220aa865044badfa94376,onchain_unknown,0.51,0,3,goldsky
0x4c49671b2aa4b14041822cad52515ff2f71c675b9421964a8ba8936e7c39733f,onchain_unknown,0.85,1,5,goldsky
0x7163487d528a60cefd3ea04ef0ee92445542741b0fe4294865fdee2c1c20154c,onchain_unknown,0.96,1,2,goldsky
0x6c63f3033bc775e57190973a09948d012cf059ec14f1920db62385dc1521b614,onchain_unknown,0.9983,1,7,goldsky
0x5c19be423ddb93dc0078e99b028a1ffe7337c4baca86d42297c1c2c2ece453c8,onchain_unknown,0.69,1,2,goldsky
0xe191ba7c177fd50cdde37bbdbbf4711aa469c8b89bf980f17cba42a770ac2759,onchain_unknown,0.0463,0,5,goldsky
0x9873e4c216f5af4dc19651af175cf432c72e80a60c7ff78918f8e252b0e31642,onchain_unknown,0.47,1,43,goldsky
0x6b9973438e25223b4bad038517889dd52f3c8af10315a996247980eb59e7cc5a,onchain_unknown,0.044,0,1,goldsky
0x1930dcfcc0d33c63f315815b8db7ebfa05e509a1c854bea5663d647760ff87f4,onchain_unknown,0.38,1,35,goldsky
0x4216438e3e6656f8a3565c671c96312df539429876949d37baefd7d76fcce5ce,onchain_unknown,0.0395,0,2,goldsky
0xd7771a0f5ad204accaedcc266b126178fbedd0d90644f54c825efa4fb78155fe,onchain_unknown,0.34,0,1,goldsky
0xd08544f6162283dc8d0a82f16362aab837a8537379df9bbe604960eec9cd4618,onchain_unknown,0.01,0,1,goldsky
0xe35198464baf6f529f96457d05c21e2ad8bd75bcaf1bbf9eaf8836c7511c5381,onchain_unknown,0.79,1,13,goldsky
0xc792f8824ef9bb549a4f5d89eec898caefdd3df5a507783f80202d289e9130ea,onchain_unknown,0.07,0,2,goldsky
0x061ba73e9efc41f013fbb9547b68c8dcb29d598e70a7fd87e91684bde2c4be9c,onchain_unknown,0.17,0,52,goldsky
0xaa4f16db7b712d98dbb9dc611c01a14f20579cf7d0d92db390158915a37e64a5,onchain_unknown,0.012,0,45,goldsky
0xf0f4616d842a17132fa3d6d5565c1a3d950d14bb6d23df8aa9b1628f90f1a45f,onchain_unknown,0.36,1,24,goldsky
