condition_id,category,prob,final_outcome
polymarket_0xcbd101709c86d0793fc68724be67e78445f6ab29f8bc44dd3617fb082e5f539f,other,0.0205,0
polymarket_0x4eae9ea132fd38be2898224ab1ab8326c68cb740b33bb728da510f3b84dd929d,sports,0.875,1
polymarket_0x067336776e2c546156593b45438e018bc2e0daeb30fe82703956132e8b5438c0,other,0.155,0
polymarket_0x0c5df93dea52d33ad6b21cc10b680676566d857f08fe60687cd4fe62770240d7,sports,0.5,0
polymarket_0xe0065c875ae67b28e263c85a9fc1d28571c738c881de68dd319c90080d334d91,other,0.003,0
polymarket_0xbeac1587c945656e3498bc0f5a0dfc89e81eb4c24be65c9ab6bd30644ddab950,other,0.375,0
polymarket_0x3f60c55459c7d367b5fc16a2f3bc9505ebf4751199ea3fb40e6a3bc25376aee8,sports,0.5,0
polymarket_0xfc43f5dc1f81e09b65b44654eff509f4b8960f14b0024358f5a2773374a1b990,sports,0.28,1
polymarket_0xea973f2509864d250e76d9419b668ccccaaa224c12158596afe225726013bd1d,other,0.13,0
polymarket_0xb37283fcc57aa043e6442014278774696cd042586083662daffef5aa29ea28eb,sports,0.635,1
polymarket_0x327837a8d403b58c92a64d8f780e67d8eb771ba6e9ccf1f6277c60a1dcde76cf,other,0.0415,0
polymarket_0xcc19206c5a28f49332312f03c6a0fbf63f595d8069dcf637d3c47d78f097027a,sports,0.5,0
polymarket_0xde70e94fcdae5958dd18b490cf9751a919f122db434973de55d07c9313491946,sports,0.205,1
polymarket_0x62cf8328227a8dee324adbce105f4a4a53682bb9257152ca8fbd4f1ce25cdc23,other,0.2,0
polymarket_0x1e3f4fb0dddcc09d134929e1cefd409a2551a45c278bb0840f21149425881eb6,other,0.019,0
polymarket_0x43236153aab4c7557be1da1b1c8d604cb84bf0648a4eeaeb2fb52c59577a776d,sports,0.845,1
polymarket_0xb37491cfc1ba7d70aff933c671cd103bc96041fdbfaa30b6591a97aebcd3873c,other,0.9995,1
polymarket_0x33a036669ecb583406e9726178fd5709babea68654608fa7c4ec24f99c43db34,sports,0.5,1
polymarket_0x4453ceb3a8e19b9b3bcdc77f13efe072e986738ea61854dfc94d17a9dedda0ec,other,0.0005,0
polymarket_0xe73850c4090e2a8112ba126931d573b673bffa43aa565126032b6862013fde06,sports,0.5005,1
polymarket_0xb6f39840102107490b6bc102083473600431df12376e21aa22a4724e15a3997b,other,0.068,0
polymarket_0xe44248c0dcc8c3d253e693a0874ba04b7322062a4c2601699b11ad94cd793555,sports,0.5,1
polymarket_0x5aaf2fd3dbdb3bd110bb30156a5f53a0ad930c57083fecf84ea44ae95d09de3e,other,0.004,0
polymarket_0x84be5518b2984622edd2f6ddb4ef1adbae60a8fae7ce7434729ebafd6073e228,other,0.28,1
polymarket_0x9d06e6eb82874316318a79df39c5b37d1d3d388e753f2ec7d503be260a5757d9,other,0.845,1
polymarket_0x96293701a2c7da609de6885a28c523b0c361d22b4050b317b998f528fca43412,other,0.0005,0
polymarket_0x6034117cd5d1f451a96f9af354d5565880d020c22e64142bb6b4d10008faf644,sports,0.605,1
polymarket_0x23d6b931323fb9f1db3e8cacfd204d75fe1ffbe34accc56215a7fcf018dc97ca,sports,0.075,0
polymarket_0x0ca44dc13aded232991282fa315f0c82c57ecf9b3a2df5b71ad92239c5c6e266,other,0.0005,0
polymarket_0x8e77b19e570f281ec574836b2aa9ecbeec0fed7bd818a90696cb039c1b3d5b38,sports,0.5,0
polymarket_0xf3df095cabb2677f740dae94de12599cd247be77b7f12634b9f4a711b68da4ff,sports,0.77,1
polymarket_0x82e5eabbaa121b325ac2181f6d8dc5b1c9fb8b19422d81e8ddc74ae85b2ca1ef,sports,0.26,0
polymarket_0x64779cd271586f2af08ba0335b43a599f4d4eb2cdb66aff4d0dd5b61a2211ea2,sports,0.5,0
polymarket_0xc8807325442949e1bfe2cebc0d61833ee11c67440c100690d61f820a1300380e,other,0.0415,0
polymarket_0x89af7c478d3ada60ace87b41956f03a216df84f000522dc273c4e1bb6f89a920,other,0.03,0
polymarket_0x61c1a152c64ee82e775c346193b72d81cfa3ed92aa81a90cd5d2186af85bee9a,other,0.245,1
polymarket_0xdec476babc4fdd3969b7403d1593d20ef548a3673632ac872cacde9fad427cb5,other,0.0035,0
polymarket_0x6ec3aa055020fb06dcaf2c60625a890f1df00db97b0ff562cf44334f4a152351,other,0.013,0
polymarket_0x845bdba9e3fdbee9e3ad4b7f891886c1bb4d0651e0261466d38093fd7844a6f0,sports,0.115,0
polymarket_0x1620688fff73289c7a6b9cb58352a594ac35bb75b487d3fdad424ec6764141d0,crypto,0.055,0
polymarket_0xb7791e4b40849a25a11d832096b27178bd09ca8c89f2e4800dd73a8b49758059,sports,0.5,1
polymarket_0x66378bf543476e19e3d18c22092ff558aeff904b4e3a2c2a50ea7281b3132cfc,other,0.06,0
polymarket_0xdb0a4851f4e62cab528709cc2ecaf78a338d8e96b6b50eb0ce2a863fc94befbc,other,0.305,0
polymarket_0x09f38dc8096dbcaf1613491187a6ab7f20b8ae172ae18047f48a26ee59e196c0,sports,0.5,1
polymarket_0xce2e08a90ddb8c5193ad9bbc3548862c377e9eb4174331d32f64912ed482e707,sports,0.765,1
polymarket_0x621319f1f6f3a006726661c2e097c6e17530c35399569895de59d871027eaba5,other,0.0915,0
polymarket_0xc2a4fdc291d724fa8a8e83a8252472cd1971396922340687ef5e93a32ec6ebe7,sports,0.5,0
polymarket_0x64e876177fefaebfb949d4447c1bd9fdd39d9a000cfd965f0d5ee3bc77be7a17,other,0.9995,1
polymarket_0xe4302e3e3c5ece0a227b5e9330fe34429a4b51e073b6faed7bdc63ede3e8440b,sports,0.505,0
polymarket_0xd1d7265458ce9c07808d9cb6ffa1278df3c24738baf5a27c67f95edd914d32b1,other,0.0005,0
polymarket_0x1a44173aa869d60e270c696eaffab370a0aaa13bafcdeba5c752530694c687be,other,0.675,1
polymarket_0xae60ce9dc80247a49b4511c68f91f08906af6337aaf8aab7c5bde4e93dc69942,other,0.38,0
polymarket_0x95723c075f2eb889742ca6b5f527e025b1c67cd16937b58bd074bb39d31bb57c,sports,0.14,0
polymarket_0x9e8caaaec966a6fc94ec8f85b67f505daa22ea5125c3e6de508038fc2b876d55,sports,0.5,1
polymarket_0x83e1e698d2b61425f3a2d876870072b2cf3576053ae799fe4aea68280dcb0066,other,0.945,1
polymarket_0x31aa884804fb15142a7193d73127ee1a2ea4734fb88d14bed73333594ca8d09d,other,0.435,1
polymarket_0xa923b3be1f016e68ac557202dc40653937a1afeb94b98f5b382f1c1efcdf73f4,other,0.465,0
polymarket_0x901b56a1523d84580c57a6d712a15cbb9f96c5abc4f601c67692d8b2b0669640,other,0.021,0
polymarket_0x2658273d8ef9f45468bf1b549b217a72ca9dbe7a4f7b4909621f3036dc2fb381,sports,0.31,1
polymarket_0x399cd123b942dad64938baada5e677bc50e1417a21a651d6e5d797394dbfa520,politics,0.255,1
polymarket_0x58ffac43d70b158d8bd28380545627a5363239bbcc0e0824b926fce74e806edd,other,0.0005,0
polymarket_0x458349d91cedffa0a37a6b10ef0c216eb3ce900ce2ca2c83bd999e46d9365ca9,sports,0.5,0
polymarket_0x8193382976c57a9878e84c4ba863d5cd199f93f023ba6fe20e2a3029e10cc32f,sports,0.5,1
polymarket_0xb484265f8551cea9ea7f229868e74975ed1d7b4461930869b0f23916257b4e8f,other,0.002,0
polymarket_0x3b483602f2bc47cd66bf69cb7b9eec5508a3462dca7238af178f8cf9c1e1c147,other,0.31,1
polymarket_0x66ae38ef2715beb261d1c6401cd8abe481482689d6c48f493d7bb53a003c6e9d,sports,0.5,0
polymarket_0x11ad8cd85946644398f6778cf66c59ee6d6400baf4181d3ce8c2145d2ce4af97,crypto,0.61,0
polymarket_0xd82eea1603163a913d1f7f5f1faeb1eff7ee81350fab3d4321b9b160c1430fdb,sports,0.0005,0
polymarket_0xd6bf855800b8153c4abb0ae585760fd7838ba7b9df87778ea249e19f3c636c4e,sports,0.525,1
polymarket_0xfc883936efbcbcae81784a527651a8028a86b207eeb5fb41d9e0eb7e2bf33062,other,0.0025,0
polymarket_0x5e28a160a33fbac660c4e66ce22735b78b0d81840c0645d7d7276aba35762416,other,0.77,1
polymarket_0xdd9bbf9662dd284b1e2c2bd98bd75845f7e7aa0b1885ce9fb76a1a4aa6b94dab,other,0.285,0
polymarket_0x464ee3b9f18088deaf9959511bd722a61c0d18a926c4c02a6527e86e0c2e1451,other,0.0105,0
